1,"Tsinis, Alexander",A17 / 5 ,NYAC ,Metro NYC ,USA ,6 ,1.00 ,30 ,15 ,+15 ,Advanced
2,"Lange, Henry",A18 / 60 ,NWFENCINGCTR ,Oregon ,USA ,6 ,1.00 ,30 ,18 ,+12 ,Advanced
3,"Herbst, Eliot",A18 / 37 ,ALLIANCEFA ,Gulf Coast ,USA ,5 ,1.00 ,25 ,13 ,+12 ,Advanced
4,"Faubert, Andy",A18 ,NWFENCINGCTR / EBFG ,Oregon ,USA ,6 ,1.00 ,30 ,20 ,+10 ,Advanced
5T,"Carpenter, Liam",A18 / 67 ,MARXFENCING ,New England ,USA ,5 ,0.83 ,29 ,15 ,+14 ,Advanced
5T,"Liverant, Skyler",B18 ,NYFA ,Metro NYC ,USA ,5 ,0.83 ,29 ,15 ,+14 ,Advanced
7T,"Campbell, Daniel",A18 / 62 ,FSA INC ,Virginia ,USA ,5 ,0.83 ,27 ,13 ,+14 ,Advanced
7T,"Thein-Sandler, Adrien",A17 / 70 ,LAIFC ,Southern CA ,USA ,5 ,0.83 ,27 ,13 ,+14 ,Advanced
9,"Elgeziry, Amro",B15 ,,Colorado ,USA ,5 ,0.83 ,29 ,17 ,+12 ,Advanced
10,"Weiss, Lewis",A17 / 16 ,ALLIANCEFA ,Gulf Coast ,USA ,5 ,0.83 ,22 ,10 ,+12 ,Advanced
11,"Hansen, Jonas",A18 / 116 ,OLYMPIAFC / CRLHSF ,New England ,USA ,5 ,0.83 ,27 ,16 ,+11 ,Advanced
12T,"Szapary, Tristan",A18 / 110 ,FAP / FENCERSCLUB ,Philadelphia ,USA ,5 ,0.83 ,26 ,15 ,+11 ,Advanced
12T,"Zagoruiko, Ivan",A18 / 24 ,UNAT / NORTHSHOREFC ,Metro NYC ,USA ,5 ,0.83 ,26 ,15 ,+11 ,Advanced
14,"Fayez, Ayman",A18 / 12 ,FSA INC ,Georgia ,EGY ,5 ,0.83 ,28 ,18 ,+10 ,Advanced
15,"Shelanski, Isaac",A15 / 97 ,UNAT / DCFENCERS ,Capitol ,USA ,5 ,0.83 ,24 ,14 ,+10 ,Advanced
16,"Chao, Kevin",A16 / 55 ,LAIFC ,Southern CA ,USA ,5 ,0.83 ,29 ,20 ,+9 ,Advanced
17T,"De Guzman, Inaki",A18 / 69 ,FSA INC ,Virginia ,USA ,5 ,0.83 ,28 ,19 ,+9 ,Advanced
17T,"Elashry, Zeyad",A18 / 40 ,FORTUNE / HOMEWOODFC ,Maryland ,USA ,5 ,0.83 ,28 ,19 ,+9 ,Advanced
19,"Cummings, Atticus",A18 ,BOZEMANFA ,Inland Emp ,USA ,5 ,0.83 ,27 ,18 ,+9 ,Advanced
20,"Yoo, Justin",A17 / 18 ,LAIFC / UNIVPA ,Southern CA ,USA ,5 ,0.83 ,26 ,17 ,+9 ,Advanced
21,"Kravitz, Zach",A17 ,UCA-SANDIEGO ,Southern CA ,USA ,5 ,0.83 ,25 ,16 ,+9 ,Advanced
22,"Hadzic, Alen",A18 / 21 ,LILOVFC/FA ,Connecticut ,USA ,5 ,0.83 ,29 ,21 ,+8 ,Advanced
23,"Smith, Dwight",A18 / 31 ,PWESTBROOK ,Metro NYC ,USA ,5 ,0.83 ,28 ,20 ,+8 ,Advanced
24,"Herbst, Isaac",A18 / 29 ,ALLIANCEFA ,Gulf Coast ,USA ,5 ,0.83 ,27 ,19 ,+8 ,Advanced
25,"Santos, Cameron",A17 ,VIVOFENCING / MARXFENCING ,New England ,USA ,5 ,0.83 ,26 ,18 ,+8 ,Advanced
26,"Schumacher, Cooper",A18 / 41 ,FENCERSCLUB ,Metro NYC ,USA ,5 ,0.83 ,24 ,16 ,+8 ,Advanced
27,"Piskovatskov, Jonathan",A18 / 13 ,ALLIANCEFA ,Gulf Coast ,USA ,5 ,0.83 ,27 ,21 ,+6 ,Advanced
28,"Gaidar, Daniel",A18 ,FENCERSCLUB ,Metro NYC ,USA ,5 ,0.83 ,27 ,22 ,+5 ,Advanced
29,"Lee, Andrew",A17 ,MTFC ,Western WA ,USA ,5 ,0.83 ,27 ,23 ,+4 ,Advanced
30,"Chmut, Anton",A17 / 31 ,NYFA ,Metro NYC ,USA ,4 ,0.80 ,23 ,13 ,+10 ,Advanced
31,"Candreva, Hunter",A18 / 90 ,NYAC ,Metro NYC ,USA ,4 ,0.80 ,22 ,14 ,+8 ,Advanced
32,"KARYCHENKO, Maksym",A18 ,,Illinois ,UKR ,4 ,0.80 ,21 ,14 ,+7 ,Advanced
33,"Haider, Syed Safi",A16 / 103 ,IMASTERS ,Georgia ,USA ,4 ,0.67 ,27 ,16 ,+11 ,Advanced
34,"Hondor, Robert",A18 / 45 ,OLYMPIAFC ,New England ,USA ,4 ,0.67 ,24 ,14 ,+10 ,Advanced
35,"Karyuchenko, Yevgeniy",A17 ,NYFA ,Metro NYC ,UKR ,4 ,0.67 ,26 ,17 ,+9 ,Advanced
36,"Canaux, Gabriel",A18 / 17 ,COLUMBIAU / NYAC ,New Jersey ,USA ,4 ,0.67 ,25 ,16 ,+9 ,Advanced
37,"Daroian, Emon",A18 / 66 ,LAIFC ,Southern CA ,USA ,4 ,0.67 ,26 ,18 ,+8 ,Advanced
38,"Volkmann, Daniel",A18 / 84 ,NWFENCINGCTR ,Oregon ,USA ,4 ,0.67 ,25 ,17 ,+8 ,Advanced
39,"Rodney, Adam",A18 / 15 ,PWESTBROOK ,Metro NYC ,USA ,4 ,0.67 ,26 ,19 ,+7 ,Advanced
40,"Abdelkarem, Moatazbellah",B14 ,,,EGY ,4 ,0.67 ,25 ,19 ,+6 ,Advanced
41,"Tepedelenlioglu, Mehmet",A18 / 78 ,EBFG ,Northern CA ,USA ,4 ,0.67 ,22 ,16 ,+6 ,Advanced
42,"Sherrill, Edward",A18 / 20 ,NYAC ,Metro NYC ,USA ,4 ,0.67 ,20 ,14 ,+6 ,Advanced
43,"Doss, David",A18 / 85 ,FENCERSCLUB / GOLDENGATEFC ,Metro NYC ,USA ,4 ,0.67 ,27 ,22 ,+5 ,Advanced
44T,"Crouse, Wolfe",A18 / 102 ,HOUSTONSWORD / NWFENCINGCTR ,Gulf Coast ,USA ,4 ,0.67 ,26 ,21 ,+5 ,Advanced
44T,"Piskovatskov, Anton",A17 / 14 ,PASTATEUNIV / ALLIANCEFA ,Gulf Coast ,USA ,4 ,0.67 ,26 ,21 ,+5 ,Advanced
44T,"Haddad, Justin",A18 ,DCFENCERS ,Capitol ,USA ,4 ,0.67 ,26 ,21 ,+5 ,Advanced
47,"Fayez, Sherif",A15 ,IMASTERS ,,EGY ,4 ,0.67 ,25 ,20 ,+5 ,Advanced
48,"Ewart, Stephen",A18 / 7 ,SWORDSFS / NOTREDAME ,Southern CA ,USA ,4 ,0.67 ,24 ,19 ,+5 ,Advanced
49T,"Zagitov, Rafael",A18 ,AFM ,Central CA ,RUS ,4 ,0.67 ,26 ,22 ,+4 ,Advanced
49T,"Spiteri, Gareth",A17 ,NYAC ,New Jersey ,USA ,4 ,0.67 ,26 ,22 ,+4 ,Advanced
49T,"Yergler, Jonathan",A15 / 28 ,NYAC / SFLORIDAFC ,Metro NYC ,USA ,4 ,0.67 ,26 ,22 ,+4 ,Advanced
52T,"Shindler, Oliver",A16 / 58 ,OSUNCAA / WNDYCTYCHICG ,Illinois ,USA ,4 ,0.67 ,25 ,21 ,+4 ,Advanced
52T,"Nollner, Dylan",A16 / 48 ,NYAC ,Metro NYC ,USA ,4 ,0.67 ,25 ,21 ,+4 ,Advanced
54,"Elgeziry, Omar",A14 / 54 ,FRONTRANGEFC ,Colorado ,USA ,4 ,0.67 ,22 ,18 ,+4 ,Advanced
55,"Zhao, Howard",A18 ,,,CHN ,4 ,0.67 ,21 ,18 ,+3 ,Advanced
56T,"Smith, William",B18 ,ALLIANCEFA ,Gulf Coast ,USA ,4 ,0.67 ,27 ,25 ,+2 ,Advanced
56T,"Zheng, Hagen",A17 ,OLYMPIAFC ,New England ,USA ,4 ,0.67 ,27 ,25 ,+2 ,Advanced
58,"Popovici, Michael",A15 ,PRINCETONU / ALLIANCEFA ,Gulf Coast ,USA ,4 ,0.67 ,25 ,24 ,+1 ,Advanced
59,"White, Sean",A18 / 42 ,FENCERSCLUB ,Metro NYC ,USA ,4 ,0.67 ,23 ,22 ,+1 ,Advanced
60,"Lauron, Sean",A18 ,LAIFC / OSUNCAA ,San Bern'do ,USA ,4 ,0.67 ,25 ,25 ,0 ,Advanced
61T,"Sanders, Ian",A18 ,NYU / FENCERSCLUB ,Connecticut ,USA ,3 ,0.60 ,19 ,18 ,+1 ,Advanced
61T,"Wang, Bowen",A18 / 93 ,NCFDP / RESEARCHTRI ,N. Carolina ,CHN ,3 ,0.60 ,19 ,18 ,+1 ,Advanced
63,"Bratton, Benjamin",A18 / 30 ,PWESTBROOK ,Metro NYC ,USA ,3 ,0.50 ,24 ,17 ,+7 ,Advanced
64,"Smoak, Omari",A18 / 39 ,PWESTBROOK / FENCERSCLUB ,Metro NYC ,USA ,3 ,0.50 ,25 ,19 ,+6 ,Advanced
65,"Shifron, Daniel",A18 ,TEAMTOUCHEFC ,San Diego ,USA ,3 ,0.50 ,25 ,20 ,+5 ,Advanced
66,"Mecke, Cedric",A16 / 44 ,NYAC ,Metro NYC ,USA ,3 ,0.50 ,25 ,21 ,+4 ,Advanced
67,"Johnson, Wesley",A17 / 25 ,SCHLHOUSEFEN / PRINCETONU ,Utah-S.Idaho ,USA ,3 ,0.50 ,23 ,20 ,+3 ,Advanced
68,"Gornovsky, David",A17 / 74 ,,,CAN ,3 ,0.50 ,27 ,25 ,+2 ,Advanced
69,"Kushnerik, Ethan",A18 / 116 ,NYAC ,Metro NYC ,USA ,3 ,0.50 ,26 ,24 ,+2 ,Advanced
70,"Moore, Shomari",A18 / 38 ,PWESTBROOK ,Metro NYC ,USA ,3 ,0.50 ,25 ,23 ,+2 ,Advanced
71T,"Moody, James",A16 / 73 ,,Colorado ,USA ,3 ,0.50 ,23 ,21 ,+2 ,Advanced
71T,"Maczik, Adam",A18 / 51 ,MARXFENCING ,New England ,USA ,3 ,0.50 ,23 ,21 ,+2 ,Advanced
73T,"Khayat, Ziad",A18 / 112 ,EBFG / UCA-SANDIEGO ,Central CA ,USA ,3 ,0.50 ,25 ,24 ,+1 ,Advanced
73T,"Thompson, Soren",A14 / 72 ,NYAC ,Metro NYC ,USA ,3 ,0.50 ,25 ,24 ,+1 ,Advanced
75T,"Griffiths, Ryan",A18 / 35 ,NYAC ,New Jersey ,USA ,3 ,0.50 ,24 ,23 ,+1 ,Advanced
75T,"Antekeier, Aidan",A18 / 116 ,ALLIANCEFA / NOTREDAME ,Oregon ,USA ,3 ,0.50 ,24 ,23 ,+1 ,Advanced
75T,"Petroll, Jared",A18 / 108 ,GOLDBLADEFC ,North TX ,USA ,3 ,0.50 ,24 ,23 ,+1 ,Advanced
78T,"Rayle, Evan",A18 / 59 ,NWFENCINGCTR ,Oregon ,USA ,3 ,0.50 ,23 ,22 ,+1 ,Advanced
78T,"Moosekian, Stafford",B18 ,SWORDSFS ,Southern CA ,USA ,3 ,0.50 ,23 ,22 ,+1 ,Advanced
80,"Comes, Matthew",A18 / 82 ,WFA / OSUNCAA ,Western WA ,USA ,3 ,0.50 ,21 ,20 ,+1 ,Advanced
81,"Zilinskiy, Eduard",A17 / 90 ,LECLUBTOUCHE / TEAMTOUCHEFC ,Central CA ,USA ,3 ,0.50 ,24 ,24 ,0 ,Advanced
82,"Cho, Jonah",A17 / 83 ,LAIFC ,Southern CA ,USA ,3 ,0.50 ,23 ,23 ,0 ,Advanced
