1,"MACHOVEC, Andrew",A17 / 11 ,5TFC ,Long Island ,USA ,6 ,1.00 ,30 ,2 ,+28 ,Advanced
2,"HAGLUND, George",A16 / 31 ,UNAT / DFA ,New Jersey ,USA ,6 ,1.00 ,30 ,5 ,+25 ,Advanced
3T,"KANESHIGE, Brian",A16 / 7 ,DFA ,New Jersey ,USA ,6 ,1.00 ,30 ,7 ,+23 ,Advanced
3T,"TOURETTE, Geoffrey",A17 / 12 ,UNAT / SILICONVALLEYFCTR ,Central CA ,USA ,6 ,1.00 ,30 ,7 ,+23 ,Advanced
5,"HAMZA, Mohamed",A15 / 68 ,SALLEMAURO ,Gulf Coast ,EGY ,6 ,1.00 ,30 ,8 ,+22 ,Advanced
6,"KUMBLA, Sidarth",A17 / 15 ,SILICONVALLEYFCTR ,Central CA ,USA ,6 ,1.00 ,29 ,7 ,+22 ,Advanced
7,"CHANG, Jerry",A17 / 13 ,,Central CA ,USA ,6 ,1.00 ,30 ,9 ,+21 ,Advanced
8,"ITKIN, Nick",A17 / 6 ,LAIFC / NOTREDAME ,Southern CA ,USA ,6 ,1.00 ,30 ,10 ,+20 ,Advanced
9,"BOURTIS, James",A16 / 42 ,RCHSTER ,Western NY ,USA ,5 ,1.00 ,25 ,5 ,+20 ,Advanced
10T,"CHENG, Julian",A17 / 18 ,M TEAM ,Northern CA ,USA ,6 ,1.00 ,30 ,11 ,+19 ,Advanced
10T,"CHANG, Jason",A16 / 21 ,TOUCHE ,Central CA ,USA ,6 ,1.00 ,30 ,11 ,+19 ,Advanced
10T,"BROSZUS, Blake",A17 / 51 ,SILICONVALLEYFCTR ,Central CA ,CAN ,6 ,1.00 ,30 ,11 ,+19 ,Advanced
10T,"IVERSON, Shane",A16 / 78 ,VFC / PSU ,New Jersey ,USA ,6 ,1.00 ,30 ,11 ,+19 ,Advanced
14,"SHIN, Philip",A15 / 17 ,UNAT / NYU ,Metro NYC ,USA ,6 ,1.00 ,30 ,12 ,+18 ,Advanced
15T,"RHEINGANS-YOO, Duncan",A17 / 20 ,UNAT / MARX FENCING ,New England ,USA ,6 ,1.00 ,30 ,13 ,+17 ,Advanced
15T,"LI, Michael",A17 / 37 ,M TEAM ,Central CA ,USA ,6 ,1.00 ,30 ,13 ,+17 ,Advanced
15T,"ORTS, Lucas",A17 / 23 ,M TEAM ,Northern CA ,USA ,6 ,1.00 ,30 ,13 ,+17 ,Advanced
15T,"MEMANI, Apurva",B17 / 101 ,VFC ,New Jersey ,USA ,6 ,1.00 ,30 ,13 ,+17 ,Advanced
15T,"JOHNSON, Aidan",A17 ,FENCERS ,Metro NYC ,USA ,6 ,1.00 ,30 ,13 ,+17 ,Advanced
20,"CHIANG, Will",B16 ,MARX FENCING ,New England ,USA ,6 ,1.00 ,30 ,14 ,+16 ,Advanced
21T,"ZHENG, Andrew",A17 / 32 ,FENCERS ,Long Island ,USA ,6 ,1.00 ,30 ,16 ,+14 ,Advanced
21T,"HADLER, Benjamin",B17 ,SANFRANFC ,Northern CA ,USA ,6 ,1.00 ,30 ,16 ,+14 ,Advanced
23,"PARKINS, Benjamin",A14 ,AUSTIN F.C. ,South TX ,USA ,5 ,0.83 ,29 ,11 ,+18 ,Advanced
