1,"VIERHELLER, Giana",A17 / 6 ,ALLIANCE F.A. ,Gulf Coast ,USA ,6 
2,"WOLF, Stephanie",A14 ,PENN / MARX FENCING ,New England ,USA ,6 
3,"VANBENTHUYSEN, Barbara",A17 / 17 ,PSU / ALLIANCE F.A. ,Gulf Coast ,USA ,5 
4,"STEWART, Tatijana",A17 / 27 ,SF / PRNCTONU. ,Utah-S.Idaho ,USA ,5 
5,"CANDREVA, Greta",A17 / 12 ,NYAC / OLYMPIA F. C. ,West-Rock ,USA ,5 
6,"CEBULA, Anne",A17 / 15 ,FENCERS ,Metro NYC ,USA ,5 
7,"KALONJI, Anastasia",A17 / 57 ,PSU ,Central PA ,FRA ,5 
8,"VON DADELSZEN, Emma",A17 / 39 ,UNAT / OSU VARSITY FENCING TEAM ,Columbus OH ,CAN ,5 
9,"SNIDER, Margot",A17 ,,Iowa ,USA ,5 
10,"KHROL, Jaclyn",A17 / 91 ,NYFA ,Metro NYC ,USA ,5 
11,"HUSISIAN, Hadley",A17 ,FSA ,Virginia ,USA ,5 
12,"QUINLAN, Nicole",B17 ,WLPTFC ,Northeast PA ,USA ,5 
13,"KUKADIA, Sancchi",A17 / 13 ,FENCERS ,Long Island ,USA ,5 
14,"BEDDINGFIELD, Claire",A17 / 37 ,LAIFC ,Southern CA ,USA ,4 
15,"ADAMS KIM, Madeline",A16 / 41 ,FAP ,Philadelphia ,USA ,4 
16,"GUO, ZI SHAN",A17 / 105 ,,,CAN ,4 
17,"MANGANO, Ariana",A17 / 8 ,NYAC / ATLANTIC F.A. ,New Jersey ,USA ,4 
18,"LEUNG, Karina Kay Sze",A17 ,,New Jersey ,HKG ,4 
19,"BASSA, Francesca",A17 / 11 ,ALLIANCE F.A. ,Gulf Coast ,USA ,4 
20,"SIRICO, Amanda",A17 / 4 ,DCFC ,Capitol ,USA ,4 
21,"PROCTOR, Sara",A17 ,NORCOLO ,Colorado ,USA ,4 
22,"YUKELSON, Taly",A17 / 51 ,U.C.S.D. ,Central CA ,USA ,4 
23,"BATES, Cassandra",A17 / 30 ,MARX FENCING ,New England ,USA ,4 
24,"HOLMES, Katharine",A17 / 3 ,NYAC / PRNCTONU. ,Capitol ,USA ,4 
25,"CONSTANTINO, Lola",A17 / 50 ,MEDEO F.C. ,New Jersey ,USA ,4 
26,"GRADY, Miriam",A17 / 21 ,NORCOLO ,Colorado ,USA ,4 
27T,"JEONG, Eunyoung",B17 / 72 ,LAIFC ,Southern CA ,,4 
27T,"TANIBAJEVA, Rachel",A17 / 19 ,PETERWE / FENCERS ,Metro NYC ,USA ,4 
29,"GAO, Cindy",A17 / 45 ,,,CAN ,4 
30,"TONCHEVA, Victoria",A17 ,BB-FC ,Nevada ,USA ,4 
31,"DUNLAP-SMITH, Azaline",A17 / 22 ,,Minnesota ,USA ,4 
32,"KAIN, Isabel",A17 ,OLYMPIA F. C. ,New England ,USA ,4 
33,"HAMILTON, Pauline",A17 / 24 ,NOWESTU / RMFA ,Colorado ,USA ,4 
34T,"IBRAHIM, Safa",A15 ,PETERWE / TU OWLS ,Metro NYC ,USA ,4 
34T,"ZMURK, Emma",A16 / 43 ,U.C.S.D. / GOLD GATE ,Northern CA ,USA ,4 
36,"GUZZI VINCENTI, Margherita",A17 / 10 ,ATABA F.C. ,Wisconsin ,USA ,4 
37,"CHOY, LeeAnn",A17 / 42 ,MORRIS F.C. / COLUMBF ,New Jersey ,USA ,4 
38,"LEE, Hanna",A17 / 16 ,BB-FC / LAIFC ,Nevada ,USA ,4 
39,"SIMMONS, Camille",B14 / 98 ,TU OWLS / ALLIANCE F.A. ,Gulf Coast ,USA ,4 
40,"PAUL, Anna",B16 ,IFC ,Illinois ,USA ,4 
41,"HENDERSON, Danielle",A15 / 95 ,NYAC / NJIT ,New Jersey ,USA ,4 
42,"DIB, Vanessa",B17 / 106 ,,,CAN ,3 
43,"KOPECKY, Lydia",A15 / 44 ,NYAC ,Metro NYC ,USA ,3 
44,"SHEFFIELD, Lake Mawu",A17 / 36 ,PETERWE / FENCERS ,Metro NYC ,USA ,3 
45,"NIXON, Catherine (Kasia)",A17 / 5 ,PRNCTONU. / LAIFC ,Southern CA ,USA ,3 
